species,X,Y,geometry
Haliaeetus leucocephalus,1220334.400560562,465694.9143013218,"c(1220334.40056056, 465694.914301322)"
Haliaeetus leucocephalus,1206198.9712482383,457665.6350580259,"c(1206198.97124824, 457665.635058026)"
Haliaeetus leucocephalus,1603227.5122648873,514797.61192581523,"c(1603227.51226489, 514797.611925815)"
Haliaeetus leucocephalus,1205792.5674443531,457862.8975052657,"c(1205792.56744435, 457862.897505266)"
Haliaeetus leucocephalus,1473787.092845336,654869.0430701684,"c(1473787.09284534, 654869.043070168)"
Haliaeetus leucocephalus,1220950.3431643392,457354.4819322478,"c(1220950.34316434, 457354.481932248)"
Haliaeetus leucocephalus,1200139.584312199,475756.30807054683,"c(1200139.5843122, 475756.308070547)"
Haliaeetus leucocephalus,1086700.3492852836,503910.1314454601,"c(1086700.34928528, 503910.13144546)"
Haliaeetus leucocephalus,1100511.606588676,543312.3864875966,"c(1100511.60658868, 543312.386487597)"
Haliaeetus leucocephalus,1157088.50660436,451471.5035958748,"c(1157088.50660436, 451471.503595875)"
Haliaeetus leucocephalus,1688196.5894362852,687741.9437425636,"c(1688196.58943629, 687741.943742564)"
Haliaeetus leucocephalus,1274440.796401485,461461.25885028386,"c(1274440.79640149, 461461.258850284)"
Haliaeetus leucocephalus,1204831.1665319055,476539.0158190829,"c(1204831.16653191, 476539.015819083)"
Haliaeetus leucocephalus,1155921.6409838083,459164.23325563606,"c(1155921.64098381, 459164.233255636)"
Haliaeetus leucocephalus,1448924.8676885397,544890.1995451795,"c(1448924.86768854, 544890.19954518)"
Haliaeetus leucocephalus,1477734.2550319985,609956.5902863912,"c(1477734.255032, 609956.590286391)"
Haliaeetus leucocephalus,1474115.1733964328,569466.1628648873,"c(1474115.17339643, 569466.162864887)"
Haliaeetus leucocephalus,1074242.2775207278,430940.5413548625,"c(1074242.27752073, 430940.541354863)"
Haliaeetus leucocephalus,1668693.2234595637,536470.8390949853,"c(1668693.22345956, 536470.839094985)"
Haliaeetus leucocephalus,1199584.2111118743,476568.5168598916,"c(1199584.21111187, 476568.516859892)"
Haliaeetus leucocephalus,1314243.1768459405,480922.2719798242,"c(1314243.17684594, 480922.271979824)"
Haliaeetus leucocephalus,1500505.4975634387,605987.9331123644,"c(1500505.49756344, 605987.933112364)"
Haliaeetus leucocephalus,912417.3869117423,711339.6850687334,"c(912417.386911742, 711339.685068733)"
Haliaeetus leucocephalus,1288348.0231985939,638266.9478784879,"c(1288348.02319859, 638266.947878488)"
Haliaeetus leucocephalus,1151376.7061624187,500121.342544297,"c(1151376.70616242, 500121.342544297)"
Haliaeetus leucocephalus,1196859.805414292,380968.87742840283,"c(1196859.80541429, 380968.877428403)"
Haliaeetus leucocephalus,1221633.0511276936,457358.45435878425,"c(1221633.05112769, 457358.454358784)"
Haliaeetus leucocephalus,1115993.1586098943,529547.1857207977,"c(1115993.15860989, 529547.185720798)"
Haliaeetus leucocephalus,1744948.05347985,563332.4739734186,"c(1744948.05347985, 563332.473973419)"
Haliaeetus leucocephalus,1423852.5659194514,644937.4056573494,"c(1423852.56591945, 644937.405657349)"
Haliaeetus leucocephalus,1211627.3370059698,996055.3992495103,"c(1211627.33700597, 996055.39924951)"
Haliaeetus leucocephalus,1193633.8322693366,983285.1387542346,"c(1193633.83226934, 983285.138754235)"
Haliaeetus leucocephalus,1121165.94384331,472323.7400247662,"c(1121165.94384331, 472323.740024766)"
Haliaeetus leucocephalus,1281463.0662466048,838795.7734984794,"c(1281463.0662466, 838795.773498479)"
Haliaeetus leucocephalus,1212120.872731522,465965.8573276859,"c(1212120.87273152, 465965.857327686)"
Haliaeetus leucocephalus,1295502.028469048,461427.45825183956,"c(1295502.02846905, 461427.45825184)"
Haliaeetus leucocephalus,1791936.8631401686,523169.9308849193,"c(1791936.86314017, 523169.930884919)"
Haliaeetus leucocephalus,1150683.041849368,526191.7997418551,"c(1150683.04184937, 526191.799741855)"
