gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1847583817	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/18432082/original.jpeg	https://www.inaturalist.org/photos/18432082					2009-06-04T21:36:25Z	Brad Walker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brad Walker
1847577925	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/18388515/original.jpg	https://www.inaturalist.org/photos/18388515					2017-05-14T04:08:48Z	Cameron Eckert		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cameron Eckert
1847577925	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/18388520/original.jpg	https://www.inaturalist.org/photos/18388520					2017-05-14T04:08:48Z	Cameron Eckert		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cameron Eckert
1838076878	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/11177613/original.jpg	https://www.inaturalist.org/photos/11177613					2015-03-06T20:53:43Z	C Graydon		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	C Graydon
1838042071	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/15045618/original.jpg	https://www.inaturalist.org/photos/15045618					2018-04-06T17:07:57Z	Jukka Jantunen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jukka Jantunen
1838007753	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/14258198/original.jpeg	https://www.inaturalist.org/photos/14258198					2014-07-15T18:07:55Z	Anonymous ebirder		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Anonymous ebirder
1838007753	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/14258201/original.jpeg	https://www.inaturalist.org/photos/14258201					2014-07-15T18:08:41Z	Anonymous ebirder		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Anonymous ebirder
1837739950	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/14621680/original.jpg	https://www.inaturalist.org/photos/14621680					2018-03-30T16:02:34Z	Oliver Barker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Oliver Barker
1837086652	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/14555819/original.jpg	https://www.inaturalist.org/photos/14555819					2008-08-16T21:01:34Z	Samuel Brinker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Samuel Brinker
1837081812	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/14525249/original.jpg	https://www.inaturalist.org/photos/14525249					2008-08-09T19:23:07Z	Samuel Brinker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Samuel Brinker
1837081807	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/14525267/original.jpg	https://www.inaturalist.org/photos/14525267					2008-08-13T02:50:40Z	Samuel Brinker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Samuel Brinker
1837081690	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/14525259/original.jpg	https://www.inaturalist.org/photos/14525259					2008-08-11T00:42:42Z	Samuel Brinker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Samuel Brinker
1836641055	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/14203354/original.jpeg	https://www.inaturalist.org/photos/14203354					2017-07-13T17:54:45Z	Bruce Bennett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bruce Bennett
1836601839	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/14010223/original.jpeg	https://www.inaturalist.org/photos/14010223					2018-02-28T17:30:57Z	Kevin Kennedy		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kevin Kennedy
1831229333	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/13695844/original.jpeg	https://www.inaturalist.org/photos/13695844					2011-04-08T20:56:06Z	Oliver Barker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Oliver Barker
1831217178	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/13638778/original.jpeg	https://www.inaturalist.org/photos/13638778					2013-02-28T07:25:29Z	b_prieto		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	b_prieto
1831217178	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/13638901/original.jpeg	https://www.inaturalist.org/photos/13638901					2013-02-28T07:25:19Z	b_prieto		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	b_prieto
1831092191	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/13783423/original.jpg	https://www.inaturalist.org/photos/13783423					2018-02-24T21:48:35Z	Julia Ahlgren		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Julia Ahlgren
1807282833	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/13138748/original.jpeg	https://www.inaturalist.org/photos/13138748					2011-05-21T21:32:07Z	sydcannings		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sydcannings
1807281823	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/13004128/original.jpg	https://www.inaturalist.org/photos/13004128					2004-07-13T18:49:13Z	Douglas Tate		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Douglas Tate
1807281823	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/13004129/original.jpg	https://www.inaturalist.org/photos/13004129					2004-07-13T18:49:23Z	Douglas Tate		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Douglas Tate
1806366394	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/13153759/original.jpeg	https://www.inaturalist.org/photos/13153759					2014-05-28T18:21:59Z	sydcannings		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sydcannings
