gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1945430644				http://creativecommons.org/licenses/by-nc/4.0/	2020-08-31T07:34:26Z		https://www.inaturalist.org/observations/18431777	Cameron Eckert					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18431777	18431777		Cameron Eckert						adult																		Porcupine Caribou															2018-08-16T12:16:00Z	12:16:00Z						2018/08/16 12:16 PM UTC																CA	Northwest Territories				Inuvik Region, NT, Canada												68.6559	-136.4589433333	EPSG:4326																																			39690888				Cameron Eckert		2018-11-16T18:25:58Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1945430611				http://creativecommons.org/licenses/by-nc/4.0/	2023-03-02T17:29:31Z		https://www.inaturalist.org/observations/18431791	Cameron Eckert					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18431791	18431791		Cameron Eckert						adult																		Pretty bad photo, but you can see the animals. Porcupine Caribou.															2018-08-16T12:22:00Z	12:22:00Z						2018/08/16 12:22 PM UTC																CA	Northwest Territories				Inuvik Region, NT, Canada												68.5397916667	-136.053295	EPSG:4326																																			39690931				Cameron Eckert		2018-11-16T18:26:40Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1945430608				http://creativecommons.org/licenses/by-nc/4.0/	2020-08-31T07:34:28Z		https://www.inaturalist.org/observations/18431586	Cameron Eckert					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18431586	18431586		Cameron Eckert						adult																		Porcupine Caribou.															2018-08-16T12:08:00Z	12:08:00Z						2018/08/16 12:08 PM UTC																CA	Yukon				Yukon, YT, Canada												68.7988033333	-136.9725633333	EPSG:4326																																			39690498				Cameron Eckert		2018-11-16T18:21:27Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1944418820				http://creativecommons.org/licenses/by-nc/4.0/	2020-08-31T07:33:57Z		https://www.inaturalist.org/observations/18418935	Cameron Eckert					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18418935	18418935		Cameron Eckert					male	adult																		Porcupine Caribou															2017-08-03							2017/08/03 7:12 PM UTC																CA	Yukon				Yukon, YT, Canada												69.5780966667	-138.8527083333	EPSG:4326																																			39642961				Cameron Eckert		2018-11-16T00:13:48Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1944409129				http://creativecommons.org/licenses/by-nc/4.0/	2022-03-30T18:33:18Z		https://www.inaturalist.org/observations/18382288	Cameron Eckert					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18382288	18382288		Cameron Eckert																								Porcupine Caribou.															2010-06-16							2010/06/16 9:05 PM UTC																CA	Yukon				Yukon, YT, Canada												69.5777349545	-138.8873451957	EPSG:4326	244																																		39538599				Cameron Eckert		2018-11-13T23:52:14Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1935627434				http://creativecommons.org/licenses/by-nc/4.0/	2020-08-31T07:34:25Z		https://www.inaturalist.org/observations/18272642	Cameron Eckert					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18272642	18272642		Cameron Eckert						adult																		Porcupine Caribou.															2006-08-15							2006/08/15 10:51 PM UTC																CA	Yukon				Yukon, YT, Canada												69.5691756766	-138.9079286081	EPSG:4326	122																																		39241419				Cameron Eckert		2018-11-08T23:52:39Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1935587829				http://creativecommons.org/licenses/by-nc/4.0/	2020-08-31T07:35:02Z		https://www.inaturalist.org/observations/18037442	Anna Sheppard					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18037442	18037442		Anna Sheppard																								I do not have a UTM for where i took this photo. Only a general area.															2008-08-14T15:57:00-04:00	15:57:00-04:00						2008/08/14 3:57 PM EDT																CA	Ontario				Kenora District, ON, Canada												54.761926504	-82.2107490122	EPSG:4326	2000																																		38716842				Anna Sheppard		2018-11-02T19:39:49Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1934387735			en		2023-10-16		https://db.kahaku.go.jp/webmuseum_en/detail?cls=col_a1_03&pkey=NSMT-M%2C39882%2C		text				NSMT	M			PreservedSpecimen				3292d6a8-63f7-4765-9f06-31950038951e	39882																																									1968-01-01/1968-12-31				1968	01	01											Canada					Canada																																				coordinates not given for conservation of locality																																					Rangifer tarandus							Animalia|Chordata|Mammalia|Artiodactyla|Cervidae|Rangifer|tarandus	Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer				tarandus						トナカイ				
1934382755			en		2023-10-16		https://db.kahaku.go.jp/webmuseum_en/detail?cls=col_a1_03&pkey=NSMT-M%2C32044%2C		text				NSMT	M			PreservedSpecimen				793c0f2c-a083-4ead-a3bb-a2b12f2dce15	32044																																									1979-09-01/1979-09-30				1979	09	01											Canada|Quebec					Canada		Quebec																																		coordinates not given for conservation of locality																																					Rangifer tarandus							Animalia|Chordata|Mammalia|Artiodactyla|Cervidae|Rangifer|tarandus	Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer				tarandus						トナカイ				
1934382753			en		2023-10-16		https://db.kahaku.go.jp/webmuseum_en/detail?cls=col_a1_03&pkey=NSMT-M%2C32045%2C		text				NSMT	M			PreservedSpecimen				ebefa356-acb6-4817-b90d-e5688045e62b	32045																																									1980-09-01/1980-09-30				1980	09	01											Canada|Quebec					Canada		Quebec																																		coordinates not given for conservation of locality																																					Rangifer tarandus							Animalia|Chordata|Mammalia|Artiodactyla|Cervidae|Rangifer|tarandus	Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer				tarandus						トナカイ				
